data_id,product_id,store_id,price,price_per_unit,unit,date_of_price,created_time
901,481,3,0.22,4.39,1kg,1713931200000,1714122253682
902,375,3,0.99,0.99,1ea,1713931200000,1714122253687
903,16,3,2.49,1.1,100g,1713931200000,1714122253691
904,213,3,2.99,0.75,1ea,1713931200000,1714122253695
905,27,3,0.99,0.99,1ea,1713931200000,1714122253701
906,215,3,1.99,1.99,1ea,1713931200000,1714122253705
907,21,3,0.99,0.99,1ea,1713931200000,1714122253709
908,484,3,5.99,1.92,100g,1713931200000,1714122253713
909,483,3,1.37,0.99,1lb,1713931200000,1714122253717
910,378,3,3.99,0.88,100g,1713931200000,1714122253722
911,485,3,1.18,1.99,1lb,1713931200000,1714122253726
912,216,3,0.88,0.88,1ea,1713931200000,1714122253729
913,377,3,4.99,0.73,100g,1713931200000,1714122253733
914,217,3,1.23,1.99,1lb,1713931200000,1714122253737
915,487,3,3.99,0.44,100g,1713931200000,1714122253743
916,488,3,5.99,1.92,100g,1713931200000,1714122253770
917,486,3,1.84,1.84,1ea,1713931200000,1714122253780
918,37,3,0.66,2.99,1lb,1713931200000,1714122253783
919,40,3,2.49,1.1,100g,1713931200000,1714122253787
920,41,3,7.99,2,100g,1713931200000,1714122268097
921,231,3,6.99,1.86,100g,1713931200000,1714122268101
922,43,3,3.99,0.8,100g,1713931200000,1714122268104
923,491,3,12.52,4.66,1lb,1713931200000,1714122268106
924,235,3,6.99,1.86,100g,1713931200000,1714122268111
925,490,3,13,1.91,100g,1713931200000,1714122268115
926,489,3,3.99,1.06,100g,1713931200000,1714122268118
927,47,3,3.99,1.06,100g,1713931200000,1714122268121
928,50,3,3.49,0.93,100g,1713931200000,1714122268124
929,240,3,5.49,1.46,100g,1713931200000,1714122268128
930,46,3,3.99,0.8,100g,1713931200000,1714122268133
931,52,3,13,1.15,100g,1713931200000,1714122268137
932,48,3,3.99,1.06,100g,1713931200000,1714122268140
933,245,3,5.99,1.2,100g,1713931200000,1714122268144
934,492,3,3.99,1.06,100g,1713931200000,1714122268148
935,57,3,8.89,3.49,1lb,1713931200000,1714122268151
936,53,3,3.49,0.93,100g,1713931200000,1714122268155
937,253,3,6.99,2.33,100g,1713931200000,1714122268160
938,251,3,6.99,1.4,100g,1713931200000,1714122268164
939,246,3,5.99,1.2,100g,1713931200000,1714122268168
940,254,3,6.99,2.33,100g,1713931200000,1714122268173
941,55,3,3.99,1.6,100g,1713931200000,1714122268177
942,252,3,6.99,1.4,100g,1713931200000,1714122268180
943,65,3,7.99,3.4,100g,1713931200000,1714122268184
944,64,3,3.49,0.93,100g,1713931200000,1714122268188
945,494,3,12,0.88,100g,1713931200000,1714122268191
946,259,3,6.99,23.3,1kg $2.33,1713931200000,1714122268195
947,257,3,6.99,2.33,100g,1713931200000,1714122268198
948,493,3,13.2,4.99,1lb,1713931200000,1714122268202
949,67,3,12,2.11,100g,1713931200000,1714122268206
950,260,3,6.99,2.33,100g,1713931200000,1714122268209
951,65,3,3.99,1.06,100g,1713931200000,1714122268213
952,63,3,3.99,0.8,100g,1713931200000,1714122268216
953,71,3,3.99,3,100g,1713931200000,1714122282709
954,495,3,2.49,1.38,100g,1713931200000,1714122282712
955,497,3,2.49,1.38,100g,1713931200000,1714122282715
956,498,3,2.49,1.38,100g,1713931200000,1714122282719
957,496,3,2.49,1.38,100g,1713931200000,1714122282724
958,69,3,3.99,3,100g,1713931200000,1714122282727
959,142,3,7,2.8,100g,1713931200000,1714122282729
960,261,3,7,2.8,100g,1713931200000,1714122282733
961,231,3,6.99,1.86,100g,1713931200000,1714122282736
962,499,3,2.49,1.38,100g,1713931200000,1714122282741
963,500,3,2.49,1.38,100g,1713931200000,1714122282745
964,502,3,2.49,1.25,100g,1713931200000,1714122282749
965,235,3,6.99,1.86,100g,1713931200000,1714122282753
966,267,3,7,2.8,100g,1713931200000,1714122282758
967,73,3,3.99,3,100g,1713931200000,1714122282761
968,503,3,2.49,1.38,100g,1713931200000,1714122282764
969,74,3,3.99,3.33,100g,1713931200000,1714122282768
970,504,3,2.49,1.25,100g,1713931200000,1714122282771
971,501,3,2.49,0.65,100g,1713931200000,1714122282774
972,81,3,3.99,3.33,100g,1713931200000,1714122282777
973,274,3,7,2.8,100g,1713931200000,1714122282781
974,505,3,2.49,1.38,100g,1713931200000,1714122282784
975,80,3,3.99,3,100g,1713931200000,1714122282789
976,251,3,6.99,1.4,100g,1713931200000,1714122282793
977,80,3,3.99,3.33,100g,1713931200000,1714122282796
978,277,3,7,2.8,100g,1713931200000,1714122282799
979,253,3,6.99,2.33,100g,1713931200000,1714122282803
980,254,3,6.99,2.33,100g,1713931200000,1714122282806
981,252,3,6.99,1.4,100g,1713931200000,1714122282814
982,506,3,2.49,1.25,100g,1713931200000,1714122282818
983,86,3,3.99,2.85,100g,1713931200000,1714122282821
984,508,3,2.49,1.38,100g,1713931200000,1714122282824
985,257,3,6.99,2.33,100g,1713931200000,1714122282827
986,259,3,6.99,23.3,1kg $2.33,1713931200000,1714122282838
987,509,3,2.49,1.38,100g,1713931200000,1714122282840
988,507,3,2.49,1.38,100g,1713931200000,1714122282843
989,260,3,6.99,2.33,100g,1713931200000,1714122282846
990,283,3,3,1.28,100g,1713931200000,1714122298996
991,285,3,2.99,1.32,100g,1713931200000,1714122312228
992,287,3,2.99,1.32,100g,1713931200000,1714122312232
993,288,3,2.99,1.87,100g,1713931200000,1714122312237
994,293,3,2.99,1.32,100g,1713931200000,1714122312243
995,295,3,2.99,5.98,100g,1713931200000,1714122312249
996,510,3,3.99,1.01,100g,1713931200000,1714122330194
997,303,3,2.99,0.6,100g,1713931200000,1714122330197
998,512,3,5.77,1.44,100g,1713931200000,1714122330200
999,104,3,3.79,0.2,100ml,1713931200000,1714122330204
1000,104,3,3.79,0.2,100ml,1713931200000,1714122330210
1001,304,3,2.99,0.6,100g,1713931200000,1714122330215
1002,109,3,3.79,0.2,100ml,1713931200000,1714122330218
1003,110,3,4.25,2.13,100g,1713931200000,1714122330221
1004,112,3,4.25,1.77,100g,1713931200000,1714122330224
1005,302,3,2.99,1.15,100g,1713931200000,1714122330227
1006,297,3,5.99,0.44,100g,1713931200000,1714122330230
1007,513,3,3.99,0.42,100ml,1713931200000,1714122330233
1008,299,3,2.99,0.6,100g,1713931200000,1714122330236
1009,104,3,3.79,0.2,100ml,1713931200000,1714122330240
1010,511,3,6.99,0.93,100ml,1713931200000,1714122330243
1011,267,3,5.77,1.44,100g,1713931200000,1714122330247
1012,298,3,2.99,1.15,100g,1713931200000,1714122330251
1013,121,3,2.49,0.26,100ml,1713931200000,1714122330255
1014,511,3,6.99,0.93,100ml,1713931200000,1714122330260
1015,121,3,2.49,0.26,100ml,1713931200000,1714122330265
1016,305,3,2.49,0.26,100ml,1713931200000,1714122330270
1017,121,3,3.79,0.22,100ml,1713931200000,1714122330274
1018,303,3,2.99,0.6,100g,1713931200000,1714122330279
1019,515,3,3.99,0.42,100ml,1713931200000,1714122330283
1020,303,3,2.99,0.6,100g,1713931200000,1714122330287
1021,127,3,4.25,2.13,100g,1713931200000,1714122330293
1022,123,3,4.25,1.93,100g,1713931200000,1714122330298
1023,130,3,4.25,1.77,100g,1713931200000,1714122330303
1024,517,3,5.99,1.32,100g,1713931200000,1714122330309
1025,519,3,5.77,1.44,100g,1713931200000,1714122330316
1026,518,3,5.77,1.44,100g,1713931200000,1714122330324
1027,516,3,3.99,0.42,100ml,1713931200000,1714122330332
1028,514,3,3.99,0.42,100ml,1713931200000,1714122330337
1029,520,3,5.77,1.44,100g,1713931200000,1714122330341
1030,303,3,2.99,0.75,100g,1713931200000,1714122330344
1031,522,3,5.77,1.44,100g,1713931200000,1714122330350
1032,109,3,3.79,0.2,100ml,1713931200000,1714122330354
1033,306,3,5.99,0.47,100g,1713931200000,1714122330358
1034,521,3,3.99,0.42,100ml,1713931200000,1714122330362
1035,307,3,2.99,0.46,100g,1713931200000,1714122330365
1036,134,3,3.79,0.2,100ml,1713931200000,1714122330369
1037,104,3,3.79,0.2,100ml,1713931200000,1714122330374
1038,139,3,4.25,2.13,100g,1713931200000,1714122330379
1039,303,3,2.99,0.75,100g,1713931200000,1714122330386
1040,104,3,3.79,0.2,100ml,1713931200000,1714122330393
1041,523,3,5.77,1.44,100g,1713931200000,1714122330399
1042,121,3,2.49,0.26,100ml,1713931200000,1714122330403
1043,109,3,3.79,0.2,100ml,1713931200000,1714122330408
1044,109,3,3.79,0.2,100ml,1713931200000,1714122339554
1045,524,3,3.99,0.42,100ml,1713931200000,1714122339557
1046,121,3,3.79,0.22,100ml,1713931200000,1714122339561
1047,303,3,2.99,0.6,100g,1713931200000,1714122339565
1048,526,3,5.77,1.44,100g,1713931200000,1714122339569
1049,152,3,3.79,0.2,100ml,1713931200000,1714122339573
1050,527,3,5.99,1.32,100g,1713931200000,1714122339577
1051,309,3,2.49,0.26,100ml,1713931200000,1714122339580
1052,528,3,5.77,1.92,100g,1713931200000,1714122339583
1053,149,3,4.25,1.77,100g,1713931200000,1714122339587
1054,121,3,3.79,0.22,100ml,1713931200000,1714122339591
1055,303,3,2.99,0.75,100g,1713931200000,1714122339596
1056,310,3,2.99,0.46,100g,1713931200000,1714122339600
1057,303,3,2.99,0.6,100g,1713931200000,1714122339604
1058,303,3,2.99,0.6,100g,1713931200000,1714122339608
1059,529,3,2.79,1.4,100ml,1713931200000,1714122355464
1060,530,3,2.79,0.17,100ml,1713931200000,1714122355467
1061,531,3,2.79,0.17,100ml,1713931200000,1714122355470
1062,156,3,1.25,0.06,100ml,1713931200000,1714122355473
1063,104,3,3.79,0.2,100ml,1713931200000,1714122355476
1064,533,3,2.79,0.17,100ml,1713931200000,1714122355479
1065,312,3,13.99,1.6,100g,1713931200000,1714122355482
1066,104,3,3.79,0.2,100ml,1713931200000,1714122355485
1067,328,3,2.79,0.15,100ml,1713931200000,1714122355489
1068,109,3,3.79,0.2,100ml,1713931200000,1714122355492
1069,158,3,1.25,0.06,100ml,1713931200000,1714122355495
1070,311,3,2.49,0.53,100ml,1713931200000,1714122355499
1071,532,3,6.99,0.49,100ml,1713931200000,1714122355502
1072,325,3,2.79,0.15,100ml,1713931200000,1714122355506
1073,104,3,3.79,0.2,100ml,1713931200000,1714122355510
1074,534,3,2.79,0.17,100ml,1713931200000,1714122355514
1075,121,3,3.79,0.22,100ml,1713931200000,1714122355517
1076,536,3,3.99,4.99,100g,1713931200000,1714122355521
1077,537,3,2.79,0.15,100ml,1713931200000,1714122355526
1078,165,3,1.25,0.06,100ml,1713931200000,1714122355531
1079,535,3,9.99,0.83,1ea,1713931200000,1714122355536
1080,539,3,2.79,0.15,100ml,1713931200000,1714122355542
1081,168,3,1.25,0.06,100ml,1713931200000,1714122355548
1082,322,3,13.99,0.47,1ea,1713931200000,1714122355555
1083,538,3,4.49,0.26,100ml,1713931200000,1714122355562
1084,535,3,9.99,0.83,1ea,1713931200000,1714122355567
1085,323,3,13.99,0.47,1ea,1713931200000,1714122355570
1086,318,3,2.49,0.53,100ml,1713931200000,1714122355575
1087,169,3,1.25,0.06,100ml,1713931200000,1714122355579
1088,166,3,1.25,0.06,100ml,1713931200000,1714122355585
1089,540,3,2.79,0.17,100ml,1713931200000,1714122355590
1090,331,3,2.49,0.53,100ml,1713931200000,1714122355594
1091,326,3,13.99,1.5,100g,1713931200000,1714122355598
1092,170,3,1.25,0.06,100ml,1713931200000,1714122355604
1093,177,3,1.25,0.06,100ml,1713931200000,1714122355610
1094,109,3,3.79,0.2,100ml,1713931200000,1714122355615
1095,165,3,1.25,0.06,100ml,1713931200000,1714122355619
1096,542,3,2.79,0.15,100ml,1713931200000,1714122355623
1097,535,3,9.99,2.94,100g,1713931200000,1714122355627
1098,182,3,1.25,0.06,100ml,1713931200000,1714122355633
1099,541,3,2.79,0.17,100ml,1713931200000,1714122355638
1100,134,3,3.79,0.2,100ml,1713931200000,1714122355643
1101,104,3,3.79,0.2,100ml,1713931200000,1714122355648
1102,340,3,13.99,1.5,100g,1713931200000,1714122355654
1103,544,3,2.79,0.17,100ml,1713931200000,1714122355658
1104,104,3,3.79,0.2,100ml,1713931200000,1714122355663
1105,170,3,1.25,0.06,100ml,1713931200000,1714122355668
1106,338,3,13.99,0.47,1ea,1713931200000,1714122355672
1107,339,3,2.49,0.53,100ml,1713931200000,1714122362231
1108,545,3,2.79,0.17,100ml,1713931200000,1714122362234
1109,340,3,13.99,1.5,100g,1713931200000,1714122362237
1110,555,3,3.99,3.99,100g,1713931200000,1714122362241
1111,121,3,3.79,0.22,100ml,1713931200000,1714122362246
1112,181,3,1.25,0.06,100ml,1713931200000,1714122362250
1113,170,3,1.25,0.06,100ml,1713931200000,1714122362254
1114,338,3,13.99,0.47,1ea,1713931200000,1714122362257
1115,329,3,13.99,0.47,1ea,1713931200000,1714122362260
1116,543,3,6.99,0.49,100ml,1713931200000,1714122362263
1117,186,3,1.25,0.06,100ml,1713931200000,1714122362266
1118,171,3,1.25,0.06,100ml,1713931200000,1714122362269
1119,334,3,13.99,0.47,1ea,1713931200000,1714122362272
1120,548,3,2.79,0.17,100ml,1713931200000,1714122362275
1121,549,3,13.99,1.6,100g,1713931200000,1714122362277
1122,535,3,9.99,2.94,100g,1713931200000,1714122362280
1123,550,3,3.99,3.99,100g,1713931200000,1714122362283
1124,152,3,3.79,0.2,100ml,1713931200000,1714122362286
1125,346,3,13.99,0.47,1ea,1713931200000,1714122362289
1126,121,3,3.79,0.22,100ml,1713931200000,1714122362292
1127,553,3,2.79,0.17,100ml,1713931200000,1714122362295
1128,552,3,1.25,0.06,100ml,1713931200000,1714122362298
1129,547,3,2.49,0.53,100ml,1713931200000,1714122362301
1130,345,3,13.99,1.5,100g,1713931200000,1714122362303
1131,554,3,3.99,3.99,100g,1713931200000,1714122362306
1132,344,3,13.99,1.5,100g,1713931200000,1714122362309
1133,194,3,1.25,0.06,100ml,1713931200000,1714122362312
1134,551,3,2.79,0.17,100ml,1713931200000,1714122362315
1135,160,3,1.25,0.06,100ml,1713931200000,1714122362320
1136,216,4,3,1.5,un,1713931200000,1714508201503
1137,558,4,3.98,2.34,100g,1713931200000,1714508201510
1138,559,4,8.77,3.98,lb,1713931200000,1714508201514
1139,560,4,8.77,3.98,lb,1713931200000,1714508201519
1140,561,4,1.88,1.25,100g,1713931200000,1714508201524
1141,562,4,0.88,0.88,un,1713931200000,1714508201529
1142,225,4,3.77,2.65,100g,1713931200000,1714508201534
1143,563,4,3.77,2.65,100g,1713931200000,1714508201539
1144,564,4,0.87,1.98,lb,1713931200000,1714508201545
1145,565,4,5,2.5,un,1713931200000,1714508201550
1146,566,4,3.98,3.98,un,1713931200000,1714508201554
1147,217,4,1.08,1.99,lb,1713931200000,1714508201559
1148,567,4,1.98,0.87,100g,1713931200000,1714508201564
1149,568,4,5,0.55,100g,1713931200000,1714508201569
1150,569,4,3.77,2.65,100g,1713931200000,1714508201573
1151,570,4,3.98,2.34,100g,1713931200000,1714508201577
1152,571,4,3.98,0.18,100g,1713931200000,1714508201583
1153,572,4,3.98,0.18,100g,1713931200000,1714508201588
1154,573,4,3.98,0.88,100g,1713931200000,1714508201594
